a,b,c,ballots,percentage
AMY FARAH WEISS,LONDON BREED,JANE KIM,46,0.018
LONDON BREED,ELLEN LEE ZHOU,ELLEN LEE ZHOU,46,0.018
,JANE KIM,MARK LENO,45,0.018
ANGELA ALIOTO,MARK LENO,MARK LENO,45,0.018
RICHIE GREENBERG,LONDON BREED,MICHELLE BRAVO,45,0.018
MARK LENO,MICHELLE BRAVO,LONDON BREED,45,0.018
MARK LENO,,LONDON BREED,44,0.017
,MARK LENO,LONDON BREED,43,0.017
RICHIE GREENBERG,AMY FARAH WEISS,ANGELA ALIOTO,43,0.017
MARK LENO,MICHELLE BRAVO,JANE KIM,42,0.017
RICHIE GREENBERG,MICHELLE BRAVO,AMY FARAH WEISS,41,0.016
JANE KIM,MICHELLE BRAVO,MARK LENO,39,0.015
JANE KIM,RICHIE GREENBERG,ELLEN LEE ZHOU,38,0.015
JANE KIM,LONDON BREED,LONDON BREED,38,0.015
AMY FARAH WEISS,ANGELA ALIOTO,ELLEN LEE ZHOU,38,0.015
RICHIE GREENBERG,AMY FARAH WEISS,MARK LENO,38,0.015
,LONDON BREED,MARK LENO,37,0.015
ELLEN LEE ZHOU,MARK LENO,AMY FARAH WEISS,37,0.015
JANE KIM,JANE KIM,ANGELA ALIOTO,37,0.015
ELLEN LEE ZHOU,LONDON BREED,ELLEN LEE ZHOU,37,0.015
RICHIE GREENBERG,LONDON BREED,AMY FARAH WEISS,37,0.015
MICHELLE BRAVO,ANGELA ALIOTO,MARK LENO,36,0.014
LONDON BREED,LONDON BREED,ELLEN LEE ZHOU,35,0.014
ELLEN LEE ZHOU,MICHELLE BRAVO,ANGELA ALIOTO,35,0.014
LONDON BREED,,LONDON BREED,35,0.014
MICHELLE BRAVO,LONDON BREED,MARK LENO,35,0.014
ANGELA ALIOTO,RICHIE GREENBERG,ANGELA ALIOTO,34,0.013
ANGELA ALIOTO,JANE KIM,ANGELA ALIOTO,34,0.013
ELLEN LEE ZHOU,MARK LENO,MICHELLE BRAVO,34,0.013
RICHIE GREENBERG,MICHELLE BRAVO,,34,0.013
AMY FARAH WEISS,JANE KIM,ANGELA ALIOTO,34,0.013
,LONDON BREED,ANGELA ALIOTO,33,0.013
RICHIE GREENBERG,AMY FARAH WEISS,LONDON BREED,33,0.013
JANE KIM,MICHELLE BRAVO,AMY FARAH WEISS,32,0.013
ELLEN LEE ZHOU,ELLEN LEE ZHOU,,32,0.013
JANE KIM,ANGELA ALIOTO,JANE KIM,32,0.013
,,ANGELA ALIOTO,32,0.013
MARK LENO,,JANE KIM,32,0.013
AMY FARAH WEISS,ANGELA ALIOTO,JANE KIM,31,0.012
RICHIE GREENBERG,MICHELLE BRAVO,MARK LENO,31,0.012
ELLEN LEE ZHOU,AMY FARAH WEISS,LONDON BREED,30,0.012
ANGELA ALIOTO,AMY FARAH WEISS,,30,0.012
LONDON BREED,ELLEN LEE ZHOU,LONDON BREED,30,0.012
MICHELLE BRAVO,ANGELA ALIOTO,ELLEN LEE ZHOU,30,0.012
,,MARK LENO,29,0.011
RICHIE GREENBERG,JANE KIM,ELLEN LEE ZHOU,29,0.011
AMY FARAH WEISS,ANGELA ALIOTO,LONDON BREED,29,0.011
ANGELA ALIOTO,MICHELLE BRAVO,,29,0.011
AMY FARAH WEISS,LONDON BREED,ANGELA ALIOTO,28,0.011
ELLEN LEE ZHOU,MICHELLE BRAVO,LONDON BREED,28,0.011
JANE KIM,,MARK LENO,28,0.011
AMY FARAH WEISS,ELLEN LEE ZHOU,MICHELLE BRAVO,28,0.011
RICHIE GREENBERG,MICHELLE BRAVO,ANGELA ALIOTO,28,0.011
AMY FARAH WEISS,ANGELA ALIOTO,MARK LENO,27,0.011
AMY FARAH WEISS,MARK LENO,ANGELA ALIOTO,27,0.011
,ELLEN LEE ZHOU,,27,0.011
MICHELLE BRAVO,LONDON BREED,ANGELA ALIOTO,27,0.011
MICHELLE BRAVO,ELLEN LEE ZHOU,AMY FARAH WEISS,27,0.011
MICHELLE BRAVO,MARK LENO,JANE KIM,27,0.011
RICHIE GREENBERG,ANGELA ALIOTO,RICHIE GREENBERG,27,0.011
ELLEN LEE ZHOU,LONDON BREED,LONDON BREED,27,0.011
